"passenger_id","survived","pclass","sex","fare","embarked","age_months","minor","family_size","traveling_alone"
1,0,3,"male",7.2,"S",264,FALSE,2,FALSE
2,1,1,"female",71.3,"C",456,FALSE,2,FALSE
3,1,3,"female",7.9,"S",312,FALSE,1,TRUE
4,1,1,"female",53.1,"S",420,FALSE,2,FALSE
5,0,3,"male",8.1,"S",420,FALSE,1,TRUE
6,0,3,"male",8.5,"Q",NA,NA,1,TRUE
7,0,1,"male",51.9,"S",648,FALSE,1,TRUE
8,0,3,"male",21.1,"S",24,TRUE,5,FALSE
9,1,3,"female",11.1,"S",324,FALSE,3,FALSE
10,1,2,"female",30.1,"C",168,TRUE,2,FALSE
11,1,3,"female",16.7,"S",48,TRUE,3,FALSE
12,1,1,"female",26.6,"S",696,FALSE,1,TRUE
13,0,3,"male",8.1,"S",240,FALSE,1,TRUE
14,0,3,"male",31.3,"S",468,FALSE,7,FALSE
15,0,3,"female",7.9,"S",168,TRUE,1,TRUE
16,1,2,"female",16,"S",660,FALSE,1,TRUE
17,0,3,"male",29.1,"Q",24,TRUE,6,FALSE
18,1,2,"male",13,"S",NA,NA,1,TRUE
19,0,3,"female",18,"S",372,FALSE,2,FALSE
20,1,3,"female",7.2,"C",NA,NA,1,TRUE
21,0,2,"male",26,"S",420,FALSE,1,TRUE
22,1,2,"male",13,"S",408,FALSE,1,TRUE
23,1,3,"female",8,"Q",180,TRUE,1,TRUE
24,1,1,"male",35.5,"S",336,FALSE,1,TRUE
25,0,3,"female",21.1,"S",96,TRUE,5,FALSE
26,1,3,"female",31.4,"S",456,FALSE,7,FALSE
27,0,3,"male",7.2,"C",NA,NA,1,TRUE
28,0,1,"male",263,"S",228,TRUE,6,FALSE
29,1,3,"female",7.9,"Q",NA,NA,1,TRUE
30,0,3,"male",7.9,"S",NA,NA,1,TRUE
31,0,1,"male",27.7,"C",480,FALSE,1,TRUE
32,1,1,"female",146.5,"C",NA,NA,2,FALSE
33,1,3,"female",7.8,"Q",NA,NA,1,TRUE
34,0,2,"male",10.5,"S",792,FALSE,1,TRUE
35,0,1,"male",82.2,"C",336,FALSE,2,FALSE
36,0,1,"male",52,"S",504,FALSE,2,FALSE
37,1,3,"male",7.2,"C",NA,NA,1,TRUE
38,0,3,"male",8.1,"S",252,FALSE,1,TRUE
39,0,3,"female",18,"S",216,TRUE,3,FALSE
40,1,3,"female",11.2,"C",168,TRUE,2,FALSE
41,0,3,"female",9.5,"S",480,FALSE,2,FALSE
42,0,2,"female",21,"S",324,FALSE,2,FALSE
43,0,3,"male",7.9,"C",NA,NA,1,TRUE
44,1,2,"female",41.6,"C",36,TRUE,4,FALSE
45,1,3,"female",7.9,"Q",228,TRUE,1,TRUE
46,0,3,"male",8.1,"S",NA,NA,1,TRUE
47,0,3,"male",15.5,"Q",NA,NA,2,FALSE
48,1,3,"female",7.8,"Q",NA,NA,1,TRUE
49,0,3,"male",21.7,"C",NA,NA,3,FALSE
50,0,3,"female",17.8,"S",216,TRUE,2,FALSE
51,0,3,"male",39.7,"S",84,TRUE,6,FALSE
52,0,3,"male",7.8,"S",252,FALSE,1,TRUE
53,1,1,"female",76.7,"C",588,FALSE,2,FALSE
54,1,2,"female",26,"S",348,FALSE,2,FALSE
55,0,1,"male",62,"C",780,FALSE,2,FALSE
56,1,1,"male",35.5,"S",NA,NA,1,TRUE
57,1,2,"female",10.5,"S",252,FALSE,1,TRUE
58,0,3,"male",7.2,"C",342,FALSE,1,TRUE
59,1,2,"female",27.8,"S",60,TRUE,4,FALSE
60,0,3,"male",46.9,"S",132,TRUE,8,FALSE
61,0,3,"male",7.2,"C",264,FALSE,1,TRUE
62,1,1,"female",80,"",456,FALSE,1,TRUE
63,0,1,"male",83.5,"S",540,FALSE,2,FALSE
64,0,3,"male",27.9,"S",48,TRUE,6,FALSE
65,0,1,"male",27.7,"C",NA,NA,1,TRUE
66,1,3,"male",15.2,"C",NA,NA,3,FALSE
67,1,2,"female",10.5,"S",348,FALSE,1,TRUE
68,0,3,"male",8.2,"S",228,TRUE,1,TRUE
69,1,3,"female",7.9,"S",204,TRUE,7,FALSE
70,0,3,"male",8.7,"S",312,FALSE,3,FALSE
71,0,2,"male",10.5,"S",384,FALSE,1,TRUE
72,0,3,"female",46.9,"S",192,TRUE,8,FALSE
73,0,2,"male",73.5,"S",252,FALSE,1,TRUE
74,0,3,"male",14.5,"C",312,FALSE,2,FALSE
75,1,3,"male",56.5,"S",384,FALSE,1,TRUE
76,0,3,"male",7.7,"S",300,FALSE,1,TRUE
77,0,3,"male",7.9,"S",NA,NA,1,TRUE
78,0,3,"male",8.1,"S",NA,NA,1,TRUE
79,1,2,"male",29,"S",10,TRUE,3,FALSE
80,1,3,"female",12.5,"S",360,FALSE,1,TRUE
81,0,3,"male",9,"S",264,FALSE,1,TRUE
82,1,3,"male",9.5,"S",348,FALSE,1,TRUE
83,1,3,"female",7.8,"Q",NA,NA,1,TRUE
84,0,1,"male",47.1,"S",336,FALSE,1,TRUE
85,1,2,"female",10.5,"S",204,TRUE,1,TRUE
86,1,3,"female",15.8,"S",396,FALSE,4,FALSE
87,0,3,"male",34.4,"S",192,TRUE,5,FALSE
88,0,3,"male",8.1,"S",NA,NA,1,TRUE
89,1,1,"female",263,"S",276,FALSE,6,FALSE
90,0,3,"male",8.1,"S",288,FALSE,1,TRUE
91,0,3,"male",8.1,"S",348,FALSE,1,TRUE
92,0,3,"male",7.9,"S",240,FALSE,1,TRUE
93,0,1,"male",61.2,"S",552,FALSE,2,FALSE
94,0,3,"male",20.6,"S",312,FALSE,4,FALSE
95,0,3,"male",7.2,"S",708,FALSE,1,TRUE
96,0,3,"male",8.1,"S",NA,NA,1,TRUE
97,0,1,"male",34.7,"C",852,FALSE,1,TRUE
98,1,1,"male",63.4,"C",276,FALSE,2,FALSE
99,1,2,"female",23,"S",408,FALSE,2,FALSE
100,0,2,"male",26,"S",408,FALSE,2,FALSE
101,0,3,"female",7.9,"S",336,FALSE,1,TRUE
102,0,3,"male",7.9,"S",NA,NA,1,TRUE
103,0,1,"male",77.3,"S",252,FALSE,2,FALSE
104,0,3,"male",8.7,"S",396,FALSE,1,TRUE
105,0,3,"male",7.9,"S",444,FALSE,3,FALSE
106,0,3,"male",7.9,"S",336,FALSE,1,TRUE
107,1,3,"female",7.7,"S",252,FALSE,1,TRUE
108,1,3,"male",7.8,"S",NA,NA,1,TRUE
109,0,3,"male",7.9,"S",456,FALSE,1,TRUE
110,1,3,"female",24.1,"Q",NA,NA,2,FALSE
111,0,1,"male",52,"S",564,FALSE,1,TRUE
112,0,3,"female",14.5,"C",174,TRUE,2,FALSE
113,0,3,"male",8.1,"S",264,FALSE,1,TRUE
114,0,3,"female",9.8,"S",240,FALSE,2,FALSE
115,0,3,"female",14.5,"C",204,TRUE,1,TRUE
116,0,3,"male",7.9,"S",252,FALSE,1,TRUE
117,0,3,"male",7.8,"Q",846,FALSE,1,TRUE
118,0,2,"male",21,"S",348,FALSE,2,FALSE
119,0,1,"male",247.5,"C",288,FALSE,2,FALSE
120,0,3,"female",31.3,"S",24,TRUE,7,FALSE
121,0,2,"male",73.5,"S",252,FALSE,3,FALSE
122,0,3,"male",8.1,"S",NA,NA,1,TRUE
123,0,2,"male",30.1,"C",390,FALSE,2,FALSE
124,1,2,"female",13,"S",390,FALSE,1,TRUE
125,0,1,"male",77.3,"S",648,FALSE,2,FALSE
126,1,3,"male",11.2,"C",144,TRUE,2,FALSE
127,0,3,"male",7.8,"Q",NA,NA,1,TRUE
128,1,3,"male",7.1,"S",288,FALSE,1,TRUE
129,1,3,"female",22.4,"C",NA,NA,3,FALSE
130,0,3,"male",7,"S",540,FALSE,1,TRUE
